sourceid,published_at,youtube_video_id,description,name,used
'DATASTAX_MEDIA',2025-01-25T18:00:00Z,eOCGLwVMeuY,Check out a trailer for You're Cordially Invited starring Reese Witherspoon and Will Ferrell! ▻ Visit Fandango: ...,You&#39;re Cordially Invited Final Trailer (2025),1
'DATASTAX_MEDIA',2025-01-25T18:00:00Z,iHx_aqcllY0,Check out the official TV spot for Superman directed by James Gunn! ▻ Sign Up for a FanAlert for Superman on Fandango: ...,Superman TV Spot - Icon (2025),1
'DATASTAX_MEDIA',2025-01-24T18:00:00Z,0WhuZ8p8DSg,Here are the new movies trailers from this week! What are you excited to see? ▻ Buy Movie Tickets: ...,New Trailers This Week | Week 4 (2025),1
'DATASTAX_MEDIA',2025-01-23T18:00:00Z,PYUP4vYKeNg,Check out the official behind the scenes first look featurette for Drop starring Meghann Fahy! ▻ Visit Fandango: ...,Drop Featurette - Behind the Scenes First Look (2025),1
'DATASTAX_MEDIA',2025-01-22T18:00:00Z,7Tgc4E-8MHY,Check out the official behind the scenes featurette for Dog Man starring Lil Rel Howery! ▻ Buy Tickets on Fandango for Dog Man: ...,Dog Man Featurette - Fun In The Booth with Lil Rel (2025),1
'DATASTAX_MEDIA',2025-01-22T18:00:00Z,XLiwx7q6ya0,Check out the official trailer for Bloat directed by Pablo Absento! ▻ Buy Tickets on Fandango for Bloat: ...,Bloat Trailer #1 (2025),1
'DATASTAX_MEDIA',2025-01-22T18:00:00Z,rtv-T-Ybodc,Check out the official behind the scenes featurette for Love Me starring Kristen Stewart and Steven Yeun! ▻ Buy Tickets to Love ...,Love Me Featurette - Kristen Stewart &amp; Steven Yeun (2025),1
'DATASTAX_MEDIA',2025-01-21T18:00:00Z,-rbDB0eF0X4,Check out the official trailer for Mickey 17 starring Robert Pattinson! ▻ Buy Tickets on Fandango for Mickey 17: ...,Mickey 17 Trailer #2 (2025),1
'DATASTAX_MEDIA',2025-01-21T18:00:00Z,6dxZf_LE8Po,Check out the official trailer for Hell of a Summer starring Finn Wolfhard and Billy Bryk! ▻ Visit Fandango: ...,Hell of a Summer Red Band Trailer #1 (2025),1
'DATASTAX_MEDIA',2025-01-21T18:00:00Z,RZuzLoZ6Dmg,Check out the official behind the scenes featurette for Dog Man starring Isla Fisher! ▻ Buy Tickets on Fandango for Dog Man: ...,Dog Man Featurette - Fun In The Booth with Isla Fisher (2025),1
'DATASTAX_MEDIA',2025-01-21T18:00:00Z,kpps_kn2PNM,Check out the official trailer for Drop starring Meghann Fahy! ▻ Visit Fandango: ...,Drop Trailer #1 (2025),1
